  Mnemonic MSID                                                      Description                    Units
  IUINNRES I421                                              UVIS Inner Resolver                 Position
  IUOUTCOM I422                                        UVIS Outer Corrector Comm                        -
  IUFOCCOM I423                                 UVIS Focus Corrector Commutation                        -
  IUINNCOM I424                                 UVIS Corrector Inner Commutation                        -
    IRRCPT I431                                    IR Refractive Corrector Plate          Temperature (C)
  IOBIRFMT I432                                                  IR Fold Mirror           Temperature (C)
  IOBIRM1T I433                                              IR M1 Mirror Mount           Temperature (C)
  IRFOCHLD I434                                            IR Focus Hold Counter                   Counts
  IROUTHLD I435                                            IR Outer Hold Counter                   Counts
  IRINNHLD I436                                            IR Inner Hold Counter                   Counts
  IRFOCSPD I437                                         IR Focus Corrector Speed                    Speed
  IROUTSPD I438                                         IR Outer Corrector Speed                    Speed
  IRINNSPD I439                                         IR Inner Corrector Speed                    Speed
  IRINNOHT I440                                                IR Inner Overheat                        -
  IROUTOHT I444                                                IR Outer Overheat                        -
  IRINNOVR I445                                              IR Inn Ovrht Ovrrde                        -
  IRINNSTA I446                                        IR Corrector Inner Status                        -
  IROUTSTA I447                                        IR Corrector Outer Status                        -
  IROUTOVR I448                                              IR Out Ovrht Ovrrde                        -
  IRFOCSTA I449                                        IR Corrector Focus Status                        -
  IRFOCOHT I450                                                 IR Focus Ovrheat                        -
  IRFOCOVR I451                                               IR Foc Ovrht Ovrde                        -
  ISFEXSPD I452                  SOFA Additional FSW Bit (see notes in workbook)                    Speed
  IRINNINI I453                                        IR Inner Corrector Status                        -
  IROUTINI I454                                        IR Outer Corrector Status                        -
  IRFOCINI I455                                        IR Focus Corrector Status                        -
  IRFOCRLY I456                                              IR Focus Lvdt Relay                        -
  IRFOCLVT I457         IR Focus Linear Variable Differential Transformer (LVDT)                 Position
  IROUTRES I458                                                IR Outer Resolver                 Position
  IRINNRES I459                                               IR Inner Resolver                  Position
  IRINNCOM I460                                          IR Inner Corrector Comm                        -
  IROUTCOM I461                                          IR Outer Corrector Comm                        -
  IRFOCCOM I462                                          IR Focus Corrector Comm                        -
    IFSMBI I471                  Filter Select Mechanism (FSM) Motor Current B I              Current (A)
    IFSMAI I472                  Filter Select Mechanism (FSM) Motor Current A I              Current (A)
  IFSMMECT I473                           Filter Select Mechanism (FSM) Housing           Temperature (C)
  IRFOCTMP I474                                        IR Corrector Focus Motor           Temperature (C)
  IRFOCPOS I475                                      IR Focus Mechanism Position                 Position
  IFSMINRS I476                   Filter Select Mechanism (FSM)  Inhibit Resolvr                        -
   IFSMOHT I477                          Filter Select Mechanism (FSM)  Overheat                        -
   IFSMSPD I478                   Filter Select Mechanism (FSM)  Commanded Speed                    Speed
   IFSMRLY I479                      Filter Select Mechanism (FSM)  Relay Status                        -
   IFSMHLD I480                  Filter Select Mechanism (FSM) Commanded Holdoff                  Holdoff
   IFSMOVR I482                   Filter Select Mechanism (FSM)  Overht Override                        -
   IFSMMOT I483                      Filter Select Mechanism (FSM)  Motor Moving                        -
  IMINTSTA I484                                             Memory Monitor 5 & 6                        -
  ICORINRS I485                                       Corrector Inhibit Resolver                        -
  IFSMFILT I486      Flight Software Reprt Filter Select Mechanism (FSM)  Filter                        -
  IFSMINIT I487                       Filter Select Mechanism (FSM)  Init Status                        -
  IFSMRPOS I488                  Filter Select Mechanism (FSM) Resolver Position                 Position
  IFSMCOMM I489                   Filter Select Mechanism (FSM)  Mtr Commutation                        -
   IFSMDIR I490                    Filter Select Mechanism (FSM)  Step Motor Dir                        -
   ICSMDIR I491             Channel Select Mechanism (CSM)  Step Motor Direction                        -
   ISHMTRI I511                                       UVIS Shutter Motor Current              Current (A)
  IUVCONDT I512                                         UVIS Condensor Radiator           Temperature (C)
  ICALCVRT I521                                           Calibration Box Cover           Temperature (C)
  IENBY2FT I522                                    WFC3 Enclosure Bay 2 Forward           Temperature (C)
  IUVEVAPT I523                                                 UVIS Evaporator           Temperature (C)
  I10VREF1 I524          Support Electronics Section ADC +10V Reference (Side 1)              Voltage (V)
  IPOMARMT I525                                Optical Bench Pickoff Mirror Arm           Temperature (C)
   IFSMTMP I526                             Filter Select Mechanism (FSM) Motor           Temperature (C)
   IENBOTT I527                                    WFC3 Enclosure Bottom Center           Temperature (C)
  IUOUTTMP I528                                      UVIS Corrector Outer Motor           Temperature (C)
   IERBOTT I529                                     Electronics Radiator Bottom           Temperature (C)
  IENBY1FT I530                                    WFC3 Enclosure Bay 1 Forward           Temperature (C)
   IENPOMT I531                                      Pickoff Mirror at Enclosure          Temperature (C)
  I10VREF2 I532                   Support Electronics Section ADC +10V Reference              Voltage (V)
   IOBTOPT I533                                         Optical Bench Top Cover           Temperature (C)
     ICL5V I536                                       +5V Calibration Lamp Power              Voltage (V)
    ITLMPT I537                                              UVIS Tungsten Lamp           Temperature (C)
  ID2LAMPI I538                                           Deuterium Lamp Current              Current (A)
  ITLMPSEL I539                                     Tungsten Lamp Relay Position             Relay Status
    ICSMAI I540                 Channel Select Mechanism (CSM) Motor Current A I              Current (A)
  ITLMP12I I541                                   Tungsten Lamps 1 and 2 Current              Current (A)
    ICSMBI I542                 Channel Select Mechanism (CSM) Motor Current B I              Current (A)
  ITCALPLT I543                              IR Calibration Plate Tungsten Lamp           Temperature (C)
    ICL15V I544                                      +15V Calibration Lamp Power              Voltage (V)
  ITLMP34I I545                                   Tungsten Lamps 3 and 4 Current              Current (A)
  ICALBOXT I546                           Calibration Box Printed Circuit Board           Temperature (C)
   ID2LMPT I547                                                  Deuterium Lamp           Temperature (C)
   IHWRST2 I566                            Hardware Reset Flag Control Section 2                        -
   IOBSNUM I567                                               Observation Number                   Number
  ISDRESTR I568                                      Science Data Buffer Restore                        -
  ICSMEM12 I569                                Control Section Memory Monitor 12          Memory Contents
  ICSMEM08 I570                                 Control Section Memory Monitor 8          Memory Contents
  ICSMEM09 I571                                 Control Section Memory Monitor 9          Memory Contents
  ICSMEM11 I572                                Control Section Memory Monitor 11          Memory Contents
  ICSMEM07 I573                                 Control Section Memory Monitor 7          Memory Contents
  ICSMEM10 I574                                Control Section Memory Monitor 10          Memory Contents
  IDIGDIAG I575                                             Digital Diag Coll On                        -
  IMACINHB I576                                         Macro Processing Inhibit                        -
  ISESDATA I577                                              SES Data FIFO Empty                        -
  ISESEMPT I578                                           SES Address FIFO Empty                        -
  ISESFULL I579                                            SES Address FIFO Full                        -
  ICSMEM06 I580                                 Control Section Memory Monitor 6          Memory Contents
  IDMPSTAT I581                                                      Dump Status                        -
  IDMPWAIT I582                                                   Dump Wait Time                Wait Time
   IHDRCNT I583                                                   Header Counter                   Counts
   IIMGCNT I584                                                    Image Counter                   Counts
  INUMLINE I587                     Number Of Science Data Formatter (SDF) Lines                    Lines
   ISESINT I588                                      SES Hardware Data Interrupt                        -
  ISDFFIFO I589                          Science Data Formatter FIFO Flag Status                        -
  IMAJFCNT I590                                              Major Frame Counter                   Counts
  INEDCOLL I591                               Normal Engineering Data Collection                        -
   IERRCNT I592                                    Flight Software Error Counter                   Counts
  IBKGDMON I593                                               Background Monitor                        -
  ILSTCKSM I594                                           Last Computed Checksum                 Checksum
  INRCMDAC I595                                 Normal Commands Accepted Counter                   Counts
  ILASTNRM I596                                              Last Normal Command                  Command
  INRCMDPC I597                                Normal Commands Processed Counter                   Counts
  ICMDATAC I598                                    Command Data Accepted Counter                   Counts
  IMINFCNT I599                                              Minor Frame Counter                   Counts
  IBUSWAIT I600                                                   Bus Wait State                        -
  IIMCMDPC I601                           Intermediate Command Processed Counter                   Counts
  ILIMCKEN I602                                        Limit Check Enable Status                        -
  IIMCMDAC I603                            Intermediate Command Accepted Counter                   Counts
  ILASTIMM I604                                           Last Immediate Command                  Command
  ICMDFIFO I605                                              Command FIFO Status                        -
   IDATQUE I606                                             Parameter Data Queue               Data Queue
   INRMQUE I607                                       Normal Command Queue Depth                    Depth
  IDOGTIME I608                                            Watchdog Timer Status                        -
  IELOGIND I609                                                  Error Log Index                    Index
  IELOGMSG I610                                                Error Log Message                  Message
  IELOGNUM I611                                                 Error Log Number              Error Value
  IELOGWRP I612                                             Error Log Wraparound                        -
  ILOOPCNT I613                                                     Loop Counter                   Counts
 IINPClock I614                                                Timer Input Clock                        -
  ITIMGAT0 I615                                            External Timer Gate 0                   Status
   IHWRST1 I616                            Hardware Reset Flag Control Section 1                        -
  ITIMGAT1 I617                                            External Timer Gate 1                   Status
  ITIMGAT2 I618                                            External Timer Gate 2                   Status
   ICHKSUM I619                                             Checksum In Progress                        -
  ICSMEM01 I620                                 Control Section Memory Monitor 1          Memory Contents
  ICSMEM02 I621                                 Control Section Memory Monitor 2          Memory Contents
  ICSMEM03 I622                                 Control Section Memory Monitor 3          Memory Contents
  ICSMEM04 I623                                 Control Section Memory Monitor 4          Memory Contents
  ICSMEM05 I624                                 Control Section Memory Monitor 5          Memory Contents
  IBANKNUM I625                                       Memory Monitor Bank Number       Memory Bank Number
  ITIMECOD I628                                            Time Code Update Flag                        -
   ITCUERR I629                                           Time Code Update Error                        -
   IDUMPTO I630                                          Dump Time Out Indicator                        -
  IUHDALLO I631                                           UVIS Header Allocation                        -
  IBKMDCRC I632                                             Bckgrd Mode Crc Flag                        -
  IBKMSTCK I633                                             Bckgd Mon Stk Chkflg                        -
  ITDFRESP I634                                          Take Data Flag Response                        -
  ISLFTEST I635                                           Self Test Process Flag                        -
      ITDF I636                                                   Take Data Flag                        -
     IWAIT I637                                               Wait Mar Proc Flag                        -
   IFSWVER I638                                   Flight Software Version Number                  Version
  INULLIMG I639                                               Null Image Counter                   Counts
  IIMGDMPD I640                                             Image Insert Pointer                  Pointer
  ITESTRES I641                                                 Self Test Result                        -
   ICSPAGE I642                                 Control Section Page Paging Flag                        -
   IUVADCS I643                                            UVIS A/d Collctn Stat                        -
  ISESADCS I644                                        SES A/D Collection Status                        -
   IIRADCS I645                           IR Analog-To-Digital Collection Status                        -
   IIRDATA I646                                               IR Data FIFO Empty                        -
   IUVDATA I647                                             UVIS Data Fifo Empty                        -
  INEDSTAT I648         Normal Engineering Data Collection Code Execution Status                        -
  IDERDIAG I649                                              Det Words Remaining                        -
  IALGDIAG I650                                              Analog Diag Collect                        -
  IUVISINT I651                                            UVIS Hwed Data Intrpt                        -
   IIRFULL I652                                             IR Address FIFO Full                        -
   IUVEMPT I653                                            UVIS Addrs Fifo Empty                        -
    IIRINT I654                                       IR Hardware Data Interrupt                        -
   IUVFULL I655                                            UVIS Addrss Fifo Full                        -
   IIREMPT I656                                            IR Address FIFO Empty                        -
  IDLAMPEN I657                               Deuterium Lamp Enable Relay Status             Relay Status
   ITL34EN I658                                   Tungsten Lamp Bulbs 3/4 Enable             Relay Status
  IDLMPCUR I659                                           Deuterium Lamp Current             Relay Status
   ITL12EN I660                                   Tungsten Lamp Bulbs 1/2 Enable             Relay Status
  ISHSWSTA I661                                     UVIS Shutter Software Status                        -
  IUNDBSEL I662                                    UVIS Exposure Type NDB Select                        -
  IUPWRSTA I663                                UVIS Control Section Power Status                        -
  IUFIFPRC I664                        UVIS First-In-First-Out (FIFO) Processing                     FIFO
  IUCMDREJ I665                                   UVIS Commands Rejected Counter                   Counts
  IUEXPTYP I667                                               UVIS Exposure Type                        -
  IUBLKPRC I668                                           UVIS Blocks To Process                   Blocks
  IUEXPSTA I669                                             UVIS Exposure Status                        -
  IDRTSCST I670                Detector Radiator Thermal Shelf Condenser Saddle           Temperature (C)
  IICMDREJ I671                                     IR Commands Rejected Counter                   Counts
   ITLAMP1 I672                                           Tungsten Lamp 1 Status             Relay Status
   ITLAMP4 I673                                           Tungsten Lamp 4 Status             Relay Status
   ITLAMP3 I674                                           Tungsten Lamp 3 Status             Relay Status
   ITLAMP2 I675                                           Tungsten Lamp 2 Status             Relay Status
   IDLAMPI I676                                       Deuterium Lamp Current Cur             Relay Status
    IDLAMP I677                                      Deuterium Lamp Relay Status             Relay Status
  IUINJECT I678                                       UVIS Charge Injection Type                        -
   IENTOPT I686                                        WFC3 Enclosure Top Plate           Temperature (C)
   IENAFTT I687                                        WFC3 Enclosure Panel Aft           Temperature (C)
   IREVAPT I688                            IR TECFIRE (DB) Heat Pipe Evaporator           Temperature (C)
  IRINNTMP I689                                        IR Corrector Inner Motor           Temperature (C)
  IROUTTMP I690                                        IR Corrector Outer Motor           Temperature (C)
  IRENEVPT I691                            IR TECFIRE (CE) Heat Pipe Evaporator           Temperature (C)
  IRFPATMP I692                                     IR Detector Monitored by SES          Temperature (C)
   IVCHPRT I706                  Variable Conductance Heat Pipe (VCHP) Radiator           Temperature (C)
  IOBCPHT1 I707                         Optical Bench Cold Plate Heater (Side 1)          Temperature (C)
  IOBCPHT2 I708                                 Optical Bench Cold Plate Heater           Temperature (C)
    IFITCT I709                                                   WFC3 C Fitting          Temperature (C)
    IFITBT I710                                                   WFC3 B Fitting          Temperature (C)
    IFITAT I711                                                   WFC3 A Fitting          Temperature (C)
  ICPCONDT I712                              Optical Bench Cold Plate Condensor           Temperature (C)
  ICPLATET I713                                        Optical Bench Cold Plate           Temperature (C)
  ISOFATMP I714         UVIS Selectable Optics Filter Assembly (SOFA) Mechanism           Temperature (C)
    IOBCET I726                                    Optical Bench Cold Enclosure           Temperature (C)
  IOBRPHP1 I727               Optical Bench Radiator Plate Heater Power (Side 1)                Power (W)
  IOBRPHP2 I728                        Optical Bench Radiator Plate Heater Power                Power (W)
    ISOFAI I729           Selectable Optics Filter Assembly (SOFA) Motor Current              Current (A)
  ISFAHS06 I730                                             SOFA Homesensor Fw06                        -
  ISFAHD08 I731                                     SOFA Filter Wheel 08 Holdoff                  Holdoff
  ISFAHS05 I732                                             SOFA Homesensor Fw05                        -
  ISFAOP10 I733                                             Filt In Optpath Fw10                        -
  ISFAPO02 I734                                    SOFA Filter Wheel Position 02                 Position
  ISFAHD06 I735                                     SOFA Filter Wheel 06 Holdoff                  Holdoff
  ISFASP08 I736                                       SOFA Filter Wheel 08 Speed                    Speed
  ISFASP03 I737                                       SOFA Filter Wheel 03 Speed                    Speed
  ISFAHS01 I738                                             SOFA Homesensor Fw01                        -
  ISFASP12 I739                                       SOFA Filter Wheel 12 Speed                    Speed
  ISFASP10 I740                                       SOFA Filter Wheel 10 Speed                    Speed
  ISFASP09 I741                                       SOFA Filter Wheel 09 Speed                    Speed
  ISFAST12 I742                                                SOFA Fw 12 Status                        -
  ISFAPO01 I743                                    SOFA Filter Wheel Position 01                 Position
  ISFAHD05 I744                                     SOFA Filter Wheel 05 Holdoff                  Holdoff
  ISFASP07 I745                                       SOFA Filter Wheel 07 Speed                    Speed
  ISFAHS02 I746                                             SOFA Homesensor Fw02                        -
  ISFASP06 I747                                       SOFA Filter Wheel 06 Speed                    Speed
  ISFAHD07 I748                                     SOFA Filter Wheel 07 Holdoff                  Holdoff
  ISFASP04 I749                                       SOFA Filter Wheel 04 Speed                    Speed
  ISFASP11 I750                                       SOFA Filter Wheel 11 Speed                    Speed
  ISFASP02 I751                                       SOFA Filter Wheel 02 Speed                    Speed
  ISFASP01 I752                                       SOFA Filter Wheel 01 Speed                    Speed
  ISFAOP12 I753                                             Filt In Optpath Fw12                        -
  ISFAOP11 I754                                             Filt In Optpath Fw11                        -
  ISFAHD12 I755                                     SOFA Filter Wheel 12 Holdoff                  Holdoff
  ISFAHD11 I756                                     SOFA Filter Wheel 11 Holdoff                  Holdoff
  ISFAHD10 I757                                     SOFA Filter Wheel 10 Holdoff                  Holdoff
  ISFAHD09 I758                                     SOFA Filter Wheel 09 Holdoff                  Holdoff
  ISFAHS03 I759                                             SOFA Homesensor Fw03                        -
  ISFAHS04 I760                                             SOFA Homesensor Fw04                        -
  ISFASP05 I761                                       SOFA Filter Wheel 05 Speed                    Speed
  ISFAPO11 I762                                    SOFA Filter Wheel Position 11                 Position
  ISFAPO12 I763                                    SOFA Filter Wheel Position 12                 Position
  ISFAHD04 I764                                     SOFA Filter Wheel 04 Holdoff                  Holdoff
  ISFAOP03 I765                                             Filt In Optpath Fw03                        -
  ISFAPO04 I766                                    SOFA Filter Wheel Position 04                 Position
  ISFAPO07 I767                                    SOFA Filter Wheel Position 07                 Position
  ISFAPO08 I768                                    SOFA Filter Wheel Position 08                 Position
  ISFAOP09 I769                                             Filt In Optpath Fw09                        -
  ISFAPO10 I770                                    SOFA Filter Wheel Position 10                 Position
  ISFAPO06 I771                                    SOFA Filter Wheel Position 06                 Position
  ISFAST01 I772                                                SOFA Fw 01 Status                        -
  ISFAOP04 I773                                             Filt In Optpath Fw04                        -
  ISFAOP01 I774                                             Filt In Optpath Fw01                        -
  ISFAOP08 I775                                             Filt In Optpath Fw08                        -
  ISFAOP07 I776                                             Filt In Optpath Fw07                        -
  ISFAOP06 I777                                             Filt In Optpath Fw06                        -
  ISFAOP05 I778                                             Filt In Optpath Fw05                        -
  ISFAPO09 I779                                    SOFA Filter Wheel Position 09                 Position
  ISFAST10 I780                                                SOFA Fw 10 Status                        -
  ISFAHD03 I781                                     SOFA Filter Wheel 03 Holdoff                  Holdoff
  ISFAHD02 I782                                     SOFA Filter Wheel 02 Holdoff                  Holdoff
  ISFAPO03 I783                                    SOFA Filter Wheel Position 03                 Position
  ISFAHD01 I784                                     SOFA Filter Wheel 01 Holdoff                  Holdoff
  ISFAOP02 I785                                             Filt In Optpath Fw02                        -
  ISFAHS07 I786                                             SOFA Homesensor Fw07                        -
  ISFAPO05 I787                                    SOFA Filter Wheel Position 05                 Position
  ISFAST02 I788                                                SOFA Fw 02 Status                        -
  ISFAST09 I789                                                SOFA Fw 09 Status                        -
  ISFAST08 I790                                                SOFA Fw 08 Status                        -
  ISFAST07 I791                                                SOFA Fw 07 Status                        -
  ISFAST06 I792                                                SOFA Fw 06 Status                        -
  ISFAST05 I793                                                SOFA Fw 05 Status                        -
  ISFAST04 I794                                                SOFA Fw 04 Status                        -
  ISFAST03 I795                                                SOFA Fw 03 Status                        -
  ISFAST11 I796                                                SOFA Fw 11 Status                        -
  ISOFASEL I797                                         Select SOFA MEB Readback                        -
  ISFA30V2 I798                                             SOFA 30V Relay Strg2                        -
  ISFA30V1 I799                                             SOFA 30V Relay Strg1                        -
  ISFA5VR2 I800                                             SOFA 5V Relay Strng2                        -
  ISFA5VR1 I801                                             SOFA 5V Relay Strng1                        -
  ISFAHS12 I802                                             SOFA Homesensor Fw12                        -
  ISFAHS11 I803                                             SOFA Homesensor Fw11                        -
  ISFAHS08 I804                                             SOFA Homesensor Fw08                        -
  ISFAHS09 I805                                             SOFA Homesensor Fw09                        -
  ISFAHS10 I806                                             SOFA Homesensor Fw10                        -
  ISFAIS12 I807                                              SOFA Init Status 12                        -
  ISFAIS10 I808                                              SOFA Init Status 10                        -
  ISFAHI03 I809                                             SOFA Home Init St 03                        -
  ISFAIS03 I810                                              SOFA Init Status 03                        -
  ISFAIS11 I811                                              SOFA Init Status 11                        -
  ISFAIS04 I812                                              SOFA Init Status 04                        -
  ISFAHI02 I813                                             SOFA Home Init St 02                        -
  ISFAIS02 I814                                              SOFA Init Status 02                        -
  ISFAMC06 I815                           SOFA Filter Wheel 06 Motor Commutation              Commutation
  ISFAHI12 I816                                             SOFA Home Init St 12                        -
  ISFAMC07 I817                           SOFA Filter Wheel 07 Motor Commutation              Commutation
  ISFAMC08 I818                           SOFA Filter Wheel 08 Motor Commutation              Commutation
  ISFAMC09 I819                           SOFA Filter Wheel 09 Motor Commutation              Commutation
  ISFAHI01 I820                                             SOFA Home Init St 01                        -
  ISFAMC10 I821                           SOFA Filter Wheel 10 Motor Commutation              Commutation
  ISFAMC11 I822                           SOFA Filter Wheel 11 Motor Commutation              Commutation
  ISFAMC12 I823                           SOFA Filter Wheel 12 Motor Commutation              Commutation
  ISFAMC05 I824                           SOFA Filter Wheel 05 Motor Commutation              Commutation
  ISFAHI10 I825                                             SOFA Home Init St 10                        -
  ISFAIS09 I826                                              SOFA Init Status 09                        -
  ISFAHI05 I827                                             SOFA Home Init St 05                        -
  ISFAHI06 I828                                             SOFA Home Init St 06                        -
  ISFAHI07 I829                                             SOFA Home Init St 07                        -
  ISFAHI08 I830                                             SOFA Home Init St 08                        -
  ISFAIS08 I831                                              SOFA Init Status 08                        -
  ISFAIS01 I832                                              SOFA Init Status 01                        -
  ISFAHI09 I833                                             SOFA Home Init St 09                        -
  ISFAMC01 I834                           SOFA Filter Wheel 01 Motor Commutation              Commutation
  ISFAMC02 I835                           SOFA Filter Wheel 02 Motor Commutation              Commutation
  ISFAMC03 I836                           SOFA Filter Wheel 03 Motor Commutation              Commutation
  ISFAIS06 I837                                              SOFA Init Status 06                        -
  ISFAHI11 I838                                             SOFA Home Init St 11                        -
  ISFAIS07 I839                                              SOFA Init Status 07                        -
  ISFAMC04 I840                           SOFA Filter Wheel 04 Motor Commutation              Commutation
  ISFAHI04 I841                                             SOFA Home Init St 04                        -
  ISFAIS05 I842                                              SOFA Init Status 05                        -
  IOBHTRP1 I843                              Optical Bench Heater Power (Side 1)                Power (W)
  IOBHTRP2 I844                                       Optical Bench Heater Power                Power (W)
    IHC15V I861                                  Heater Control +15VDC Regulator              Voltage (V)
   ICSMTMP I862                            Channel Select Mechanism (CSM) Motor           Temperature (C)
  ICSMOTVL I863                  Channel Select Mechanism (CSM)  Overtravel Stat                        -
   ICSMOVR I864                Channel Select Mechanism (CSM)  Overheat Override                        -
   ICSMRLY I865                     Channel Select Mechanism (CSM)  Relay Status                        -
   ICSMMOT I866                     Channel Select Mechanism (CSM)  Motor Moving                        -
  ICSMINRS I867                 Channel Select Mechanism (CSM)  Inhibit Resolver                        -
   ICSMOHT I868                  Channel Select Mechanism (CSM)  Overheat Status                        -
  ICSMSTAT I869                 Channel Select Mechanism (CSM)  Mechanism Status                        -
   ICSMHLD I871                 Channel Select Mechanism (CSM) Commanded Holdoff                  Holdoff
  IMECHSEL I872                                               Mechanism Selected                        -
  IFSMSTAT I873                  Filter Select Mechanism (FSM)  Mechanism Status                        -
   ICSMSPD I874                  Channel Select Mechanism (CSM)  Commanded Speed                    Speed
  ICSMCHAN I875   Channel Select Mechanism (CSM)  Channel Flight Software Report                        -
  ICSMRPOS I876                Channel Select Mechanism (CSM)  Resolver Position                    Steps
  ICSMINIT I877                      Channel Select Mechanism (CSM)  Init Status                        -
  ICSMCOMM I878                Channel Select Mechanism (CSM)  Motor Commutation                        -
  IFSMMSTP I879                        Filter Select Mechanism (FSM)  Motor Step                    Steps
  ICSMMSTP I880                       Channel Select Mechanism (CSM)  Motor Step                    Steps
    IDRUVT I961                                                   UVIS Radiator           Temperature (C)
   IVHTRP1 I962             Variable Conductance Heat Pipe Heater Power (Side 1)                Power (W)
   IVHTRP2 I963                      Variable Conductance Heat Pipe Heater Power                Power (W)
  IDRTECHT I971                                                      IR TEC Hot           Temperature (C)
  IUSHSET1 I972                                   UVIS Shield Current Setpoint 1     Setpoint Current (A)
  IDBTECP1 I973     IR Detector Base Thermo-Electric Cooler Power Relay (Side 1)             Relay Status
  IDBTECP2 I974     IR Detector Base Thermo-Electric Cooler Power Relay (Side 2)             Relay Status
  IRCETECV I975                 IR Cold Enclosure Thermo-Electric Cooler Voltage              Voltage (V)
   ISHTERR I976                  UVIS Shutter Actual to Commanded Position Error                  Degrees
   IUVTECV I977              UVIS 4-Stage Thermo-Electric Cooler Voltage Monitor              Voltage (V)
  IRDBTECV I978                     IR Detector Baseplate Thermo-Electric Cooler              Voltage (V)
   IR6TECV I979                        IR 6-Stage Thermo-Electric Cooler Voltage              Voltage (V)
  IOBUVM2T I996                                                  UVIS M2 Mirror           Temperature (C)
  IDCALPLT I997                                  Deuterium Calibration Platform           Temperature (C)
  ICBVHTP1 I998                            Cold Bench VCHP Heater Power (Side 1)                Power (W)
  ICBVHTP2 I999                                     Cold Bench VCHP Heater Power                Power (W)
